category,file,codec,codec_profile,resolution,width,height,bitrate_mbps,nominal_fps,average_fps,pixel_format,possible_vfr,status,warning_count,trouble_score,severity,most_troubling,trouble_reason
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep1.mp4,h264,High,852x480,852,480,0.31,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep2.mp4,h264,High,852x480,852,480,0.23,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep3.mp4,h264,High,852x480,852,480,0.29,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep4.mp4,h264,High,852x480,852,480,0.3,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep5.mp4,h264,High,852x480,852,480,0.28,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep6.mp4,h264,High,852x480,852,480,0.27,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep7.mp4,h264,High,852x480,852,480,0.31,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep8.mp4,h264,High,852x480,852,480,0.28,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane Ep9.mp4,h264,High,852x480,852,480,0.28,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep1.mp4,h264,High,852x480,852,480,0.32,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep2.mp4,h264,High,852x480,852,480,0.31,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep3.mp4,h264,High,852x480,852,480,0.34,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep4.mp4,h264,High,852x480,852,480,0.32,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep5.mp4,h264,High,852x480,852,480,0.29,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep6.mp4,h264,High,852x480,852,480,0.35,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep7.mp4,h264,High,852x480,852,480,0.34,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep8.mp4,h264,High,852x480,852,480,0.24,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Arcane/Arcane S2 Ep9.mp4,h264,High,852x480,852,480,0.43,24.0,24.0,yuv420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 1.mp4,h264,High,640x480,640,480,0.22,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 2.mp4,h264,High,640x480,640,480,0.17,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 3.mp4,h264,High,640x480,640,480,0.22,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 4.mp4,h264,High,640x480,640,480,0.2,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 5.mp4,h264,High,640x480,640,480,0.18,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
TV,/Volumes/Bag O Holdn/Videos (Project Nonsense)/TV/Azumanga Daioh/Azumanga Daioh Ep 6.mp4,h264,High,640x480,640,480,0.25,23.976,23.976,yuvj420p,False,OK,0,0,OK,NONE,No major warning was found by the current checks.
